Dzongkhag_Name,Class_Grade,Total_Male,Total_Female,,,
Bumthang,X,86,92,,,
Bumthang,XI,109,115,,,
Bumthang,XII,138,143,,,
Chukha,X,459,518,,,
Chukha,XI,227,246,,,
Chukha,XII,359,428,,,
Dagana,X,216,251,,,
Dagana,XI,142,190,,,
Dagana,XII,155,170,,,
Gasa,X,48,55,,,
Gasa,XI,6,10,,,
Gasa,XII,34,47,,,
Ha,X,122,128,,,
Ha,XI,119,123,,,
Ha,XII,112,99,,,
Lhuntse,X,129,90,,,
Lhuntse,XI,73,64,,,
Lhuntse,XII,98,139,,,
Mongar,X,204,291,,,
Mongar,XI,159,181,,,
Mongar,XII,250,270,,,
Paro,X,298,381,,,
Paro,XI,266,326,,,
Paro,XII,415,472,,,
Pemagatshel,X,175,197,,,
Pemagatshel,XI,113,106,,,
Pemagatshel,XII,181,197,,,
Punakha,X,266,313,,,
Punakha,XI,329,320,,,
Punakha,XII,361,371,,,
Samdrup Jongkhar,X,234,297,,,
Samdrup Jongkhar,XI,135,167,,,
Samdrup Jongkhar,XII,165,205,,,
Samtse,X,501,569,,,
Samtse,XI,257,265,,,
Samtse,XII,228,252,,,
Sarpang,X,333,389,,,
Sarpang,XI,275,306,,,
Sarpang,XII,321,364,,,
Trashiyangtse,X,135,184,,,
Trashiyangtse,XI,84,108,,,
Trashiyangtse,XII,123,162,,,
Tashigang,X,266,320,,,
Tashigang,XI,234,287,,,
Tashigang,XII,317,368,,,
Thimphu,X,901,985,,,
Thimphu,XI,638,803,,,
Thimphu,XII,913,1117,,,
Trongsa,X,92,111,,,
Trongsa,XI,62,79,,,
Trongsa,XII,158,169,,,
Tsirang,X,196,240,,,
Tsirang,XI,193,182,,,
Tsirang,XII,204,210,,,
Wangdue Phodrang,X,200,271,,,
Wangdue Phodrang,XI,122,132,,,
Wangdue Phodrang,XII,143,162,,,
Zhemgang,X,132,156,,,
Zhemgang,XI,92,87,,,
Zhemgang,XII,157,177,,,
