Dzongkhag_Name,Class_Grade,Total_Male,Total_Female,Total_students
Bumthang,X,86,92,178
Bumthang,XI,109,115,224
Bumthang,XII,138,143,281
Chukha,X,459,518,977
Chukha,XI,227,246,473
Chukha,XII,359,428,787
Dagana,X,216,251,467
Dagana,XI,142,190,332
Dagana,XII,155,170,325
Gasa,X,48,55,103
Gasa,XI,6,10,16
Gasa,XII,34,47,81
Ha,X,122,128,250
Ha,XI,119,123,242
Ha,XII,112,99,211
Lhuntse,X,129,90,219
Lhuntse,XI,73,64,137
Lhuntse,XII,89,139,228
Mongar,X,204,291,495
Mongar,XI,159,181,340
Mongar,XII,250,270,520
Paro,X,298,381,679
Paro,XI,266,326,592
Paro,XII,415,472,887
Pemagatshel,X,175,197,372
Pemagatshel,XI,113,106,219
Pemagatshel,XII,181,197,378
Punakha,X,266,313,579
Punakha,XI,329,320,649
Punakha,XII,361,371,732
Samdrup Jongkhar,X,234,297,531
Samdrup Jongkhar,XI,135,167,302
Samdrup Jongkhar,XII,165,205,370
Samtse,X,501,569,1070
Samtse,XI,257,265,522
Samtse,XII,228,252,480
Sarpang,X,333,389,722
Sarpang,XI,275,306,581
Sarpang,XII,321,364,685
Trashiyangtse,X,135,184,319
Trashiyangtse,XI,84,108,192
Trashiyangtse,XII,123,162,285
Tashigang,X,266,320,586
Tashigang,XI,234,287,521
Tashigang,XII,317,368,685
Thimphu,X,901,985,1886
Thimphu,XI,638,803,1441
Thimphu,XII,913,1117,2030
Trongsa,X,92,111,203
Trongsa,XI,62,79,141
Trongsa,XII,158,169,327
Tsirang,X,196,240,436
Tsirang,XI,193,182,375
Tsirang,XII,204,210,414
Wangdue Phodrang,X,200,271,471
Wangdue Phodrang,XI,122,132,254
Wangdue Phodrang,XII,143,162,305
Zhemgang,X,132,156,288
Zhemgang,XI,92,87,179
Zhemgang,XII,157,177,334
